name,label,f_c,cs,n_k,w_j,d_j,b_j,d_g,w_k,d_k,d_kf,d_t,s_k,d_s,Rdia,t_e
F100DR-1,1,47.36698265,0.6895,0,177.8,101.6,76.2,25.4,0,0,0,114.3,0,101.6,15.875,0
F300DR-1,2,47.36698265,2.0685,0,177.8,101.6,76.2,25.4,0,0,0,114.3,0,101.6,15.875,0
F500DR-1,3,47.36698265,3.4475,0,177.8,101.6,76.2,25.4,0,0,0,114.3,0,101.6,15.875,0
M1-D-F,4,52.2,1,0,500,200,250,20,0,0,0,200,0,200,12,0
M2-D-F-1,5,52.8,2,0,500,200,250,20,0,0,0,200,0,200,12,0
M2-D-F-2,6,52.7,2,0,500,200,250,20,0,0,0,200,0,200,12,0
M3-D-F,7,53.5,3,0,500,200,250,20,0,0,0,200,0,200,12,0
F-01,8,40.49,1,0,340,200,100,20,0,0,0,150,0,200,12,0
F-02,9,40.49,2,0,340,200,100,20,0,0,0,150,0,200,12,0
